Title,Genre,Year,Rating,Director,Cast,Duration,Language,Country of Origin,Revenue,Budget
Women in Fury,Action,1984,6.0,Michele Massimo Tarantini,"Suzane Carvalho, Rossana Ghessa, Henri Pagnoncelli, Gloria Cristal , Paulo Guarnieri, Zaira Bueno, Vera Holtz, Gilson Moura",90,it,Brazil,N/A,N/A
Brave,Animation,2012,7.008,Brenda Chapman,"Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters, Robbie Coltrane, Kevin McKidd, Craig Ferguson, Sally Kinghorn, Eilidh Fraser, Peigi Barker, Steven Cree, Steve Purcell, Callum O'Neill, Patrick Doyle, John Ratzenberger",93,en,United States of America,538983207,185000000
Monsters University,Animation,2013,7.028,Dan Scanlon,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren, Peter Sohn, Joel Murray, Sean Hayes, Dave Foley, Charlie Day, Alfred Molina, Tyler Labine, Nathan Fillion, Aubrey Plaza, Bobby Moynihan, Noah Johnston, Julia Sweeney, Bonnie Hunt, John Krasinski, Bill Hader, Beth Behrs, Bob Peterson, John Ratzenberger, Lori Alan, Carlos Alazraqui, Jack Angel, Bob Bergen, Gregg Berger, Rodger Bumpass, Neil Campbell, Ava Acres, Sherry Lynn, Paul Lazenby, Aramé Scott, Joseph John Schirle, Kristen Li, Davin Ransom, Raymond Ochoa, Calum John, Montse Hernandez, Mason Cook, Makenna Cowgill, Tyree Brown, Jack Bright, Isabella Acres, April Winchell, Colette Whitaker, Jim Ward, Marcia Wallace, David Theune, Tara Strong, Mindy Sterling, Joel Spence, Betsy Sodaro, Patrick Seitz, Dan Scanlon, Jan Rabson, Cristina Pucelli, Jeff Pidgeon, Dannah Feinglass Phirman, Donovan Patton, Bret 'Brook' Parker, Colleen O'Shaughnessey, Laraine Newman, David Neher, Pam Murphy, Matthew Mercer, Alec Medlock, Allan McLeod, Mickie McGowan, Tricia McAlpin, Mona Marshall, Jason Marsden, Danny Mann, Dawnn Lewis, Elissa Knight, John Kassir, Brandon Johnson, Jess Harnell, Mike Hanford, Daniel Gerson, Teresa Ganzel, Donald Fullilove, Andy Fischer-Price, Keith Ferguson, Bill Farmer, Paul Eiding, Greg Dykstra, John Cygan, Sean Conroy, Patrick Carlyle, Natalie Jane Dang, Gage Davenport, Ethan Louis Samuels DiSalvio, Faith Goblirsch, Brooke Klinger, Nikolas Michailidis, Marley Pearson, Lindsay Lefler",104,en,United States of America,743559607,200000000
Top Gun,Romance,1986,7.032,Tony Scott,"Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards, Tom Skerritt, Michael Ironside, John Stockwell, Barry Tubb, Rick Rossovich, Tim Robbins, Clarence Gilyard Jr., Whip Hubley, James Tolkan, Meg Ryan, Adrian Pasdar, Randall Brady, Duke Stroud, Brian Sheehan, Ron Clark, Frank Pesce, Pete Pettigrew, Troy Hunter, Linda Rae Jurgens, T.J. Cassidy",110,en,United States of America,356830601,15000000
The Unholy,Horror,2021,6.707,Evan Spiliotopoulos,"Jeffrey Dean Morgan, Cricket Brown, William Sadler, Katie Aselton, Cary Elwes, Diogo Morgado, Bates Wilder, Marina Mazepa, Christine Adams, Dustin Tucker, Gisela Chipe, Danny Corbo, Sonny Corbo, Michael Strauss, Madison LaPlante, Doria Bramante, Stephen O'Neil Martin, Tim Estiloz, Ted Wayman, Andrea Athanassiou, Hannah Jane Doyon, Celeste Oliva, Chris Byers, Mere Davis, Dave Heard, Kiara Pichardo, Kevin Fennessy, Charlie Thurston, Mike Wendt, Lisa Gresci, Bill Thorpe, Lorna Larkin, Cassidy Neal, Rob Lévesque, J.J. Wright, Adrian M. Mompoint, Jonathan Neves, Nicholas Trotto",99,en,United States of America,30833138,10000000
Iron Man,Action,2008,7.633,Jon Favreau,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb, Bill Smitrovich, Paul Bettany, Jon Favreau, Shaun Toub, Faran Tahir, Clark Gregg, Peter Billingsley, Sayed Badreya, Tim Guinee, Will Lyman, Tom Morello, Marco Khan, Daston Kalili, Ido Mor, Kevin Foster, Garret Noël, Eileen Weisinger, Ahmed Ahmed, Fahim Fazli, Gerard Sanders, Tim Rigby, Russell Richardson, Nazanin Boniadi, Thomas Craig Plumer, Robert Berkman, Stacy Stas, Lauren Scyphers, Frank Nyi, Marvin Jordan, Jim Cramer, Donna Evans, Reid Harper, Summer Kylie Remington, Ava Rose Williams, Vladimir Kubr, Callie Croughwell, Javan Tahir, Sahar Bibiyan, Patrick O'Connell, Adam Harrington, Meera Simhan, Ben Newmark, Ricki Lander, Jeannine Kaspar, Sarah Cahill, Stan Lee, Justin Rex, Zorianna Kit, Lana Kinnear, Nicole Lindeblad, Masha Lund, Gabrielle Tuite, Tim Griffin, Joshua Harto, Micah A. Hauptman, James Bethea, Mike Cochrane, Flavia Manes Rossi, Samuel L. Jackson, Kristin J. Hooper",126,en,United States of America,585174222,140000000
The Call of the Wild,Adventure,2020,7.565,Chris Sanders,"Harrison Ford, Dan Stevens, Colin Woodell, Karen Gillan, Omar Sy, Raven Scott, Wes Brown, Cara Gee, Jean Louisa Kelly, Terry Notary, Preston Bailey, Michael Horse, Alex Solowitz, Stephanie Czajkowski, Adam Fergus, Brad Greenquist, Scott MacDonald, Anthony Molinari, Karl Makinen, Larry Cedar, Chase Victoria, Chris Graham, Kirk Geiger, Bradley Whitford, Abraham Benrubi, Thomas Adoue Polk, Benjamin Hoffman, Aria Lyric Leabu, Salem Meade, Greg Tarzan Davis, Jamie Bock, Adam Zastrow, Bryan Scott Johnson, Paul Mabon, Tim DeZarn, P.J. King, Michael Lanahan, Joshua Nazaroff, Martin J. Riddell, Ellen Buckley, Dillon Daniel Mutyaba, Alexander Lewis, Michael Froton, Anthony Fox, Patty Ann Nix, Heather McPhaul, Micah Fitzgerald",100,en,Canada,111202881,109000000
Overdose,Action,2022,6.6,Olivier Marchal,"Sofia Essaïdi, Assaad Bouab, Alberto Ammann, Nicolas Cazalé, Nassim Lyes, Naïma Rodric, Kool Shen, Moussa Mansaly, Simon Abkarian, Zoé Marchal, Kenza Fortas, Francis Renaud, Salem Kali, Daniel Girondeaud, Frédéric Guérin, Julie Chevallier, Jean Pierre Horcholle, Frédéric Fix, Philippe Corti",119,fr,France,N/A,N/A
Hellraiser,Horror,2022,6.406,David Bruckner,"Odessa A'zion, Jamie Clayton, Adam Faison, Drew Starkey, Brandon Flynn, Aoife Hinds, Jason Liles, Yinka Olorunnife, Selina Lo, Zachary Hing, Goran Visnjic, Hiam Abbass, Predrag Bjelac, Gorica Regodić, Vukašin Jovanović, Kit Clarke, Ivona Kustudić, Greg De Cuir, Miodrag Milovanov, Nikola Kent, Katarina Gojković",121,en,United States of America,N/A,14000000
Zootopia,Animation,2016,7.747,Byron Howard,"Jason Bateman, Ginnifer Goodwin, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong, J.K. Simmons, Octavia Spencer, Alan Tudyk, Shakira, Raymond S. Persi, Della Saba, Maurice LaMarche, Phil Johnston, Fuschia!, John DiMaggio, Katie Lowes, Gita Reddy, Jesse Corti, Tom 'Tiny' Lister Jr., Josh Dallas, Leah Latham, Rich Moore, Kath Soucie, Peter Mansbridge, Byron Howard, Jared Bush, Mark Rhino Smith, Josie Trinidad, John Lavelle, Kristen Bell, Evelyn Wilson Bresee, Hewitt Bush, Jill Cordes, Madeleine Curry, Terri Douglas, Melissa Goodwin Shepherd, Zach King, Dave Kohut, Jeremy Milton, Pace Paulsen, Fabienne Rawley, Bradford Simonsen, Claire K. Smith, Jackson Stein, David A. Thibodeau, Hannah G. Williams, Daveed Diggs",109,en,United States of America,1023784195,150000000
Black Widow,Action,2021,7.353,Cate Shortland,"Scarlett Johansson, Florence Pugh, Rachel Weisz, David Harbour, Ray Winstone, Olga Kurylenko, Ever Anderson, Violet McGraw, O.T. Fagbenle, William Hurt, Ryan Kiera Armstrong, Liani Samuel, Michelle Lee, Lewis Young, C.C. Smiff, Nanna Blondell, Simona Zivkovska, Erin Jameson, Shaina West, Yolanda Lynes, Claudia Heinz, Fatou Bah, Jade Ma, Jade Xu, Lucy-Jayne Murray, Lucy Cork, Eniko Fulop, Lauren Okadigbo, Aurélia Agel, Zhanè Samuels, Shawarah Battles, Tabby Bond, Madeleine Nicholls, Yasmin Riley, Fiona Griffiths, Georgia Curtis, Svetlana Constantine, Ione Butler, Aubrey Cleland, Kurt Yue, Doug Robson, Marcel Dorian, Zoltán Nagy, Liran Nathan, Judit Varga-Szathmary, Noel Krisztian Kozak, Martin Razpopov, Olivier Richters, Nina Novich, Andrew Byron, Ed Ashe, Dawid Szatarski, Cali Nelle, Geoffrey D. Williams, Robert Pralgo, Jacinte Blankenship, Josh Henry, Jose Miguel Vasquez, Valentina Herrera, Danielle Jalade, Aria Brooks, Sophie Colgrove, Caister Myung Choi, David Turner, Edward L. Oliver, Rob Horrocks, Oliver Simms, Yuuki Luna, Kalina Vanska, Jordyn Curet, Chad J. Wagner, Joakim Skarli, Ian Wilson, Tyrone Kearns, Gavin Lee Lewis, Ahmed Bakare, Zoltan Rencsar, Adam Prickett, Luigi Boccanfuso, Roman Green, Clem So, Graham Kitchen, Daniel Joseph Woolf, John Wolfe, Paul O'Kelly, Shane Askam, Obie Matthew, Ty Hurley, Stephen Samson, Marian Lorencik, Julia Louis-Dreyfus, Jeremy Renner, Dale Liner",134,en,United States of America,379751655,200000000
Batman and Superman: Battle of the Super Sons,Animation,2022,7.9,Matt Peters,"Jack Dylan Grazer, Jack Griffo, Laura Bailey, Troy Baker, Travis Willingham, Darin De Paul, Tom Kenny, Zeno Robinson, Nolan North, Myrna Velasco",79,en,United States of America,N/A,N/A
Vacation Friends,Comedy,2021,7.116,Clay Tarver,"John Cena, Lil Rel Howery, Meredith Hagner, Yvonne Orji, Robert Wisdom, Lynn Whitfield, Andrew Bachelor, Tawny Newsome, Kamal Angelo Bolden, Carlos Santos, T. Love, Chuck Cooper, Sonny Charles, Cristian Gonzalez, Hugh Moore, Ramiro 'Ramir' Delgado Ruiz, Chris TC Edge, Julitza Berberena, Noelle Jackson, TJ Jackson, Barry Rothbart, Anna Maria Horsford, Denise Burse, Elbert Kim",103,en,United States of America,N/A,N/A
"Goodbye, Don Glees!",Animation,2022,5.955,Atsuko Ishizuka,"Natsuki Hanae, Yuki Kaji, Ayumu Murase, Kana Hanazawa, Rino Sashihara, Atsushi Tamura",95,ja,Japan,N/A,N/A
The Hip Hop Nutcracker,Music,2022,5.706,Elizabeth Avellan,"Joseph Simmons, Mikhail Baryshnikov, Stephen 'tWitch' Boss, Tiler Peck, Viktor White, Allison Holker, Comfort Fedoke, Kida Burns, Dushaunt Fik-Shun Stegall, JabbaWockeez, BDash, Cache Melvin, Konkrete",44,en,United Kingdom,N/A,N/A
As They Made Us,Drama,2022,5.5,Mayim Bialik,"Dianna Agron, Simon Helberg, Candice Bergen, Dustin Hoffman, Justin Chu Cary, Charlie Weber, Julian Gant, Gina Jun, Sweta Keswani, Mellanie Hubert, Anastasia Veronica Lee, Oliver Patnode, Harrison Fox, John Wollman, Jo Yang, Jeremy Kucharek, Yury Tsykun, Michal Birnbaum, Wesley Holloway",96,en,United States of America,N/A,N/A
Evil Dead,Horror,2013,6.481,Fede Álvarez,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas, Elizabeth Blackmore, Phoenix Connolly, Jim McLarty, Sian Davis, Stephen Butterworth, Karl Willetts, Randal Wilson, Rupert Degas, Bob Dorian, Ellen Sandweiss, Jack Walley, Bruce Campbell",96,en,United States of America,97542952,17000000
Beautiful Disaster,Romance,2023,N/A,Roger Kumble,"Dylan Sprouse, Virginia Gardner, Austin North, Libe Barer, Rob Estes, Brian Austin Green, Autumn Reeser, Samuel Larsen, Manal El-Feitury, Jack Hesketh, Micky Dartford, Neil Bishop, Trevor Van Uden, Declan Michael Laird",96,en,United States of America,N/A,N/A
The Witch: Part 2. The Other One,Action,2022,7.099,Park Hoon-jung,"Shin Sia, Park Eun-bin, Seo Eun-soo, Jin Goo, Seong Yu-bin, Justin John Harvey, Cho Min-soo, Cha Soon-bae, Lee Jong-suk, Kim Da-mi, Byeon Seo-yoon, Um Tae-goo, Chae Won-been, Seo Yi-ra, Jung Lael, Kim Ki-hae, Mowg, Kim Ha Young",137,ko,South Korea,23000000,N/A
The Remaining,Thriller,2014,5.932,Casey La Scala,"Alexa PenaVega, Johnny Pacar, Shaun Sipos, Italia Ricci, Bryan Dechart, Liz E. Morgan, John Pyper-Ferguson, Kim Pacheco, Hayley Lovitt",88,en,United States of America,1169603,N/A
Watcher,Mystery,2022,6.569,Chloe Okuno,"Maika Monroe, Karl Glusman, Burn Gorman, Mãdãlina Anea, Daniel Nuta, Gabriela Butuc, Cristina Deleanu, Ștefan Iancu, Florian Ghimpu, Flaviu Crisan, Ioana Abur, Alexandru Ion, Aida Economu, Bogdan Farcaș, Tudor Petruț, Lucian Ionescu, Radu Bunescu, Ciprian Chiriches, Ionut Grama, Simona Pătruleasa, Ioana Hirica, Alice Cora Mihalache, Andreea Sovan, Adrian Radulescu, Petre Moraru, Marius Cobzariu",96,en,United Arab Emirates,2667033,N/A
Margaux,Horror,2022,6.809,Steven C. Miller,"Madison Pettis, Vanessa Morgan, Richard Harmon, Lochlyn Munro, Jedidiah Goodacre, Phoebe Miu, Jordan Buhat, Brittany Mitchell, Louis Lay, Susan Bennett",105,en,Canada,N/A,N/A
The Lord of the Rings: The Two Towers,Adventure,2002,8.376,Peter Jackson,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Andy Serkis, Cate Blanchett, John Rhys-Davies, Bernard Hill, Christopher Lee, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving, Miranda Otto, David Wenham, Brad Dourif, Craig Parker, Sean Bean, Karl Urban, John Noble, Bruce Allpress, John Bach, Sala Baker, Jed Brophy, Sam Comery, Calum Gittins, Phil Grieve, Bruce Hopkins, Paris Howe Strewe, Nathaniel Lees, John Leigh, Robbie Magasiva, Robyn Malcolm, Bruce Phillips, Robert Pollock, Olivia Tennet, Raymond Trickitt, Stephen Ure, Timothy Lee, Phillip Spencer-Harris, Victoria Beynon-Cole, Lee Hartley, Billy Jackson, Katie Jackson, Frazer Anderson, Ben Barrington, Jarl Benzon, Jørn Benzon, Owen Black, Dorothy Anne Bonner, Ben Britton, Riley Brophy, Alistair Browning, Alix Bushnell, Sean Button, Ryan Carey, Rodney Cook, Augie Davis, Mana Hira Davis, Shane Dawson, Karlos Drinkwater, Aron Eastwood, Frank Edwards, Clint Elvy, Alexia Fairbrother, Daniel Falconer, Siaosi Fonua, Kester Fordham, Michael Fowler, Ben Fransham, Frank Goldingham, Winham Hammond, Jonathan Harding, Lucas Hayward, Dan Hennah, Jason Hood, Lani Jackson, Peter Jackson, Gareth Jensen, Sam Kelly, Richard Knowles, Sandro Kopp, Sam La Hood, Don Langridge, Michael Lawrence, Alan Lee, Jono Manks, Brent McIntyre, Dra McKay, Joseph Mika-Hunt, Dean Morganty, Henry Mortensen, Francis Mountjoy, Paul Norell, Barrie M. Osborne, Allan Poppleton, Gareth Reeves, Miranda Rivers, Campbell Rousselle, Matthew J. Saville, Samuel E. Shore, Allan Smith, Greg Tozer, Piripi Waretini, Tim Wong, John Wraight, Kelley Kerr Young, Robert Young",179,en,New Zealand,926287400,79000000
The Emperor's New Groove,Adventure,2000,7.549,Mark Dindal,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Kellyann Kelso, Eli Russell Linnetz, Stephen J. Anderson, Bob Bergen, Rodger Bumpass, Robert Clotworthy, Jennifer Darling, Patti Deutsch, John Fiedler, Miriam Flynn, Geri Lee Gorowski, Sherry Lynn, Danny Mann, Mickie McGowan, D.F. Reynolds, Andre Stojka, Steve Susskind, Joe Whyte, Jack Angel, Mark Dindal, Bill Farmer, Carole Jeghers, Tom Jones, Patrick Pinney, Jess Harnell, Phil Proctor",78,en,United States of America,169327687,100000000
Carter,Action,2022,6.2,Jung Byung-gil,"Joo Won, Lee Sung-jae, Jeong So-ri, Kim Bo-min, Camilla Belle, Mike Colter, Jung Jae-young, Jung Hae-kyun, Yeo Dae-hyun, Gina Theresa Williamson, Byeon Seo-yoon, Maurice Turner Jr., Andreas Fronk, Wang Jong-myung",132,ko,South Korea,N/A,N/A
Girl at the Window,Thriller,2022,6.451,Mark Hartley,"Radha Mitchell, Ella Newton, Vince Colosimo, James Mackay, Jackson Gallagher, Nathan Hill, Sharon Johal, Lauren Goetz, Karis Oka, Andrew S. Gilbert, Lachie Millar, Simone Buchanan, Trae Robin, Adam Rozenbachs, Terence Hammond, Kaysea Hayes, Kate Angus, Rian Goodge",84,en,Australia,N/A,N/A
Finch,Science Fiction,2021,7.981,Miguel Sapochnik,"Tom Hanks, Caleb Landry Jones, Oscar Avila, Lora Martinez-Cunningham, Marie Wagenman, Emily Jones",115,en,India,N/A,2500000
Taken 3,Thriller,2014,6.229,Olivier Megaton,"Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace, Dougray Scott, Sam Spruell, Don Harvey, Dylan Bruno, Leland Orser, David Warshofsky, Jon Gries, Jonny Weston, Andrew Borba, Judi Beecher, Andrew Howard, Cedric Cirotteau, Catherine Dyer, Jimmy Palumbo, Robert Pralgo, Tony Williams, Al Vicente, Alexander Wraith, Shelley Calene-Black, Adam J. Smith, Jimmy Gonzales, David Clark, Michael Shikany, Robert Bryan Davis, Nazareth Dairian, Tony DeMil, Stefanie Kleine, Johnny Harvill, Angie Dillard, Wallace Langham, Franck Neel, Anton Yakovlev, Ellen Ho, Haley Craft, Stephanie Honoré, Steve Coulter, Mike Davies, Jonathan Waite, Lauren Sivan, Cornelius Peter, Kevin Fry, Katie Mary Garland, Al Sapienza, Chad Donella, Pete Thias, Cedric Camus, Karim Ben Haddou, Vincent Parisi, Scott Thrun, Laurent Desponds, Amanda Nima, Alex Disdier, Martin Vaughan Lewis, Abbey Ferrell, Ashante P.T. Stokes, Cédric Chevalme",109,en,France,325771424,48000000
Nobody,Action,2021,8.067,Ilya Naishuller,"Bob Odenkirk, Connie Nielsen, Christopher Lloyd, Aleksey Serebryakov, RZA, Michael Ironside, Colin Salmon, Billy MacLellan, Araya Mengesha, Gage Munroe, Paisley Cadorath, Aleksandr Pal, Humberly Gonzalez, Edsson Morales, J.P. Manoux, Adrian McLean, Ilya Naishuller, Sergey Shnurov, Joanne Rodriguez, Stephanie Sy, Megan Best, Paul Essiembre, Kristen Harris, Destini Boldt, Erik Athavale, Boris Gulyarin, Neven Pajkic, Sharon Bajer, Frederick Allen, Jim Kirby, Daniel Bernhardt, Alain Moussi, Alan Wong, Yulia Guzhva, Vladimir Levkovsky, Dasha Naishuller, Thomas Soares, Stephane Jullien, Meaghan Ann De Werrenne-Walle, Robert Heinamaki, Brent Alarie, Adam Hurtig, Darya Charusha",92,en,United States of America,61779301,17000000
Spider-Man: Far From Home,Action,2019,7.464,Jon Watts,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei, Jon Favreau, Zendaya, Jacob Batalon, Tony Revolori, Angourie Rice, Remy Hii, Martin Starr, J.B. Smoove, Jorge Lendeborg Jr., Cobie Smulders, Numan Acar, Zach Barack, Zoha Rahman, Yasmin Mwanza, Joshua Sinclair-Evans, Tyler Luke Cunningham, Sebastián Viveros, Toni Garrn, Peter Billingsley, Clare Dunne, Nicholas Gleaves, Claire Rushbrook, J.K. Simmons, Dawn Michelle King, Jeroen van Koningsbrugge, Michael de Roos, Jan-Paul Buijs, Sergio Pierattini, Anjana Vasan, Brian Law, Evelyn Mok, Tatiana Lunardon, Giada Benedetti, Lukáš Bech, Alessandro Giuggioli, Petr Opava, Giuseppe Andriolo, Pat Kiernan, Shari Abdul, Mari Alexandrova, Kristen Alminta, Vincent Angel, Peter Arpesella, Lasco Atkins, Sitara Attaie, Peter Bankolé, Blair Barnette, Tuwaine Barrett, Anna Benamati, Avondre E.D. Beverley, Bruno Bilotta, Sharon Blynn, Luigi Boccanfuso, Paolo Braghetto, Dante Brattelli, Jeff Bridges, Graham Burton, Ken Byrd, Sokol Cahani, Gianni Calchetti, Darren Lee Campbell, Hélène Cardona, Dian Cathal, Jake Cerny, Daphne Cheung, Sam Chuck, Al Clark, Victoria Coburn, Kimberly Collison, Tiziana Coste, Jaylen Davis, Kristianne-Kaith Domingo, Andrew Dunkelberger, Charlie Esquér, Ria Fend, Ferroz Fernandez, Vincent Frattini, Massi Furlan, Cynthia Garbutt, Thomas Goodridge, Sonia Goswami, Nicholle Hembra, Michael Hennessy, Meagan Holder, Patrick Doran, Ruth Horrocks, Chris Hyacinthe, Michael Iacono, Roman Ibragimov, Theo Ip, Timothy Christian Jansen, Keon Kendrick, Camille Kinloch, Michal Kubal, Hannah Kurczeski, Géraldine Lamarre, Jimena Larraguivel, Rich Lawton, Kath Leroy, Gavin Lee Lewis, Patrick Loh, Joseph Long, Marian Lorencik, Ketan Majmudar, Tony Mardon, Antonín Mašek, Eustace Meade, Ben Mendelsohn, Bradley Wj Miller, Melissa Beth Miller, Anthony Molinari, Julia Mollin, Adrian Mozzi, Brendan Murphy, Amanda Musso, Emily Ng, Daniel Olson, Karen Parks, Hiten Patel, Clay Pel-is, Luigi Petrazzuolo, Aleksandrs Petukhovs, Annie Pisapia, Martin Polak, Jivan Xander Ramesh, Mike Ray, Sofia Renee, Daniel Rennis, Sawyer Reo, Cailan Robinson, Emmanuel Rodriguez, Ray Rosario, Daniel Ryves, Maurice Sardison, Susanne Schraps, Karen-J Sear, Ilya Tank Shilov, Davina Sitaram, Joakim Skarli, Paul Slim, Richard Stanley, Lucas Antoine Starrets, Faith Tarby, Emily Tebbutt, Oskar Ulvestad, Lesdy Vanessa, Jessica VanOss, Joe David Walters, Jo Wheatley, Dale Wilder, Rocco Wu, Jan Zalabak, Samantha Mishinski, Alessandro Sciarra, Aristou Meehan",129,en,United States of America,1131927996,160000000
Sausage Party,Adventure,2016,5.732,Conrad Vernon,"Seth Rogen, Kristen Wiig, Jonah Hill, Bill Hader, Michael Cera, James Franco, Danny McBride, Craig Robinson, Paul Rudd, Nick Kroll, David Krumholtz, Edward Norton, Salma Hayek, Anders Holm, Scott Underwood, Sugar Lyn Beard, Conrad Vernon, Ian James Corlett, Michael Daingerfield, Jason Simpson, Vincent Tong, Karen E. Wright, Lauren Miller, Sam Vincent, Greg Tiernan, Brian Dobson, Harland Williams, Alistair Abell, Iris Apatow, Michael Dobson, Ian Hanlin, Maryke Hendrikse, Nicole Oliver, Kelly Sheridan, Meat Loaf",89,en,Canada,140705322,19000000
Delicious Room Salon Service 2,Romance,2019,5.2,N/A,"이미선, Min Jung, Kim Soo-ji",N/A,ko,South Korea,N/A,N/A
Code Name Banshee,Action,2022,5.9,Jon Keeyes,"Jaime King, Antonio Banderas, Tommy Flanagan, Catherine Davis, Kim DeLonghi, Levon Panek, Wayne Pyle, Keil Oakley Zepernick, Aleksander Vayshelboym, Dylan Flashner, Rose Lane Sanfilippo, Emmanuel Kerry, John Wollman, Yahudah Bane Brown",93,en,United States of America,N/A,N/A
Maleficent: Mistress of Evil,Family,2019,7.343,Joachim Rønning,"Angelina Jolie, Elle Fanning, Harris Dickinson, Michelle Pfeiffer, Sam Riley, Chiwetel Ejiofor, Ed Skrein, Robert Lindsay, David Gyasi, Jenn Murray, Juno Temple, Lesley Manville, Imelda Staunton, Judi Shekoni, MIYAVI, Kae Alexander, Warwick Davis, Emma Maclennan, Aline Mowat, Freddie Wise, Barry Aird, Jermaine Cope, Juliane Snekkestad, Jess Liaudin, Noor Dillan-Night, Sarah Morghad, Oliver Frank Newman, Harry Paul Newman, April Alexander, Derek Horsham, Ia Östergren, Anthony Kaye, Lex Milczarek, Xander Pipe, Fernanda Diniz, John Carew, Rebecca Kunikowski, Ivy-Mae Hewitt, Oliviyah Hewitt, John Lebar, Richard Keep, Bruce Lester-Johnson, Elizabeth Brace, Pik-Sen Lim, Topo Wresniwiro, Chester Durrant, Elizabeth Marcano-Mortlock, Julia Bender, Mikey Brett, Brian Fisher, Josh Jefferies, Jack Parker, Russell Balogh, Michael Akinsulire, Camille Mallet De Chauny, Lonyo Engele, Mark Knightley, Darcy Vanhinsbergh, Tekle Baroti, Gielliane Althea, Martin Bishop, Adam Colborne, Ahaan Gupta, David Midthunder, Briana Akinluyi, Tom Bonington, Rayna Campbell, Tina Gray, Darrell Davis, Robert Curtis, Tom Colley, David Isiguzo, Sarah Sayuri Hare, Chloe Fung, Arjen Tuiten, Andre Bullock, Lewis Kirk, Victor Perez, Piers Horseman, Jimmy Hibbert, Jo Hannah Emblem Rønning, Holly Emblem Rønning, Robert McCrea",119,en,United States of America,491730089,185000000
Soul,Animation,2020,8.157,Pete Docter,"Jamie Foxx, Tina Fey, Graham Norton, Rachel House, Alice Braga, Richard Ayoade, Phylicia Rashād, Donnell Rawlings, Questlove, Angela Bassett, Cora Champommier, Margo Hall, Daveed Diggs, Rhodessa Jones, Wes Studi, Sakina Jaffrey, Fortune Feimster, Calum Grant, Laura Mooney, Zenobia Shroff, June Squibb, Ochuwa Oghie, Jeannie Tirado, Cathy Cavadini, Dorian Lockett, Doris Burke, Ronnie del Carmen, Esther K. Chae, Élisapie, Marcus Shelby",101,en,United States of America,136384442,150000000
Mortal Kombat Legends: Snow Blind,Animation,2022,7.9,Rick Morales,"Manny Jacinto, David Wenham, Artt Butler, Yuri Lowenthal, Sumalee Montano, Patrick Seitz, Keith Silverstein, Courtenay Taylor, Imari Williams, Debra Wilson, Lei Yin, Ron Yuan",82,en,United States of America,N/A,N/A
Under Wraps 2,Family,2022,6.7,Alex Zamm,"Malachi Barton, Christian J. Simon, Sophia Hammons, Phil Wright, Melanie Brook, T.J. Storm, Rryla McIntosh, Jordan Conley, Adam Wylie, Claude Knowlton, Antonio Cayonne",83,en,Canada,N/A,N/A
The Tangalanga Method,Comedy,2023,6.429,Mateo Bendesky,"Martín Piroyansky, Julieta Zylberberg, Alan Sabbagh, Rafael Ferro, Luis Machín, Lucía Maciel, Antonella Saldicco, Silvio Soldán, Luis Rubio, Mónica Raiola, Horacio Games",98,es,Argentina,N/A,N/A
Doctor Strange,Action,2016,7.426,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen, Tilda Swinton, Michael Stuhlbarg, Benjamin Bratt, Scott Adkins, Zara Phythian, Alaa Safi, Katrina Durden, Topo Wresniwiro, Umit Ulgen, Linda Louise Duan, Mark Anthony Brighton, Meera Syal, Amy Landecker, Adam Pelta-Pauls, Sarah Malin, Eben Young, Kobna Holdbrook-Smith, Elizabeth Healey, Guillaume Faure, Daniel Dow, Stan Lee, Ezra Khan, Kimberly Van Luin, Pat Kiernan, Raj Awasti, Jill Buchanan, Daniel Eghan, Juani Feliz, Mo Idriss, Tamika Katon-Donegal, Pezhmaan Alinia, Kei Miura, Cameron Moon, Emeson Nwolie, Clem So, Chris Hemsworth, Samantha Russell",115,en,United States of America,677796076,165000000
In the Forest,Horror,2022,6.0,Hector Barron,"Debbon Ayer, Cristina Spruell, Lyman Ward, Don Baldaramos, Kaitlyn Dias, Time Winters, Sharon Sharth",83,en,United States of America,N/A,N/A
Looks Can Kill,Thriller,2022,4.571,Jasmine Ebony Thomas,"Danielle Scott, Sarah Alexandra Marks, Antonia Whillans, Clint Gordon, Barbara Dabson, Ray Whelan, Abi Casson Thompson, Mark Sears, Matthew Baunsgard, Paul Eibich, Mya Brown, Darrell Griggs, George Nettleton, Zelda Zemzare",104,en,United Kingdom,N/A,N/A
